UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
445133,21136,American InterContinental University-Houston,"Private, for-profit",Houston,Texas ,77042,29.728216,-95.548302,"Computer and Information Sciences, General",3,Bachelor’s Degree,47516,14.0
445133,21136,American InterContinental University-Houston,"Private, for-profit",Houston,Texas ,77042,29.728216,-95.548302,"Business Administration, Management and Operations",3,Bachelor’s Degree,39955,45.0
445133,21136,American InterContinental University-Houston,"Private, for-profit",Houston,Texas ,77042,29.728216,-95.548302,Accounting and Related Services,3,Bachelor’s Degree,38760,3.0
445133,21136,American InterContinental University-Houston,"Private, for-profit",Houston,Texas ,77042,29.728216,-95.548302,Criminal Justice and Corrections,3,Bachelor’s Degree,33004,24.0
