UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
225414,11711,University of Houston-Clear Lake,Public,Houston,Texas ,77058-1002,29.582523,-95.098129,Computer Engineering,3,Bachelor’s Degree,70167,36.0
225414,11711,University of Houston-Clear Lake,Public,Houston,Texas ,77058-1002,29.582523,-95.098129,Management Information Systems and Services,3,Bachelor’s Degree,61250,23.0
225414,11711,University of Houston-Clear Lake,Public,Houston,Texas ,77058-1002,29.582523,-95.098129,Computer Science,3,Bachelor’s Degree,56129,47.0
225414,11711,University of Houston-Clear Lake,Public,Houston,Texas ,77058-1002,29.582523,-95.098129,"Business/Commerce, General",3,Bachelor’s Degree,54593,50.0
225414,11711,University of Houston-Clear Lake,Public,Houston,Texas ,77058-1002,29.582523,-95.098129,Accounting and Related Services,3,Bachelor’s Degree,51227,112.0
