UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
225432,3612,University of Houston-Downtown,Public,Houston,Texas ,77002-1014,29.7661,-95.359338,Computer Engineering Technologies/Technicians,3,Bachelor’s Degree,76489,21.0
225432,3612,University of Houston-Downtown,Public,Houston,Texas ,77002-1014,29.7661,-95.359338,"Computer and Information Sciences, General",3,Bachelor’s Degree,73620,106.0
225432,3612,University of Houston-Downtown,Public,Houston,Texas ,77002-1014,29.7661,-95.359338,Civil Engineering Technologies/Technicians,3,Bachelor’s Degree,63411,8.0
225432,3612,University of Houston-Downtown,Public,Houston,Texas ,77002-1014,29.7661,-95.359338,Quality Control and Safety Technologies/Technicians,3,Bachelor’s Degree,62848,23.0
225432,3612,University of Houston-Downtown,Public,Houston,Texas ,77002-1014,29.7661,-95.359338,Management Information Systems and Services,3,Bachelor’s Degree,55488,59.0
