UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
225511,3652,University of Houston,Public,Houston,Texas ,77204-2018,29.720393,-95.343537,Information Science/Studies,3,Bachelor’s Degree,90735,5.0
225511,3652,University of Houston,Public,Houston,Texas ,77204-2018,29.720393,-95.343537,"Electrical, Electronics and Communications Engineering",3,Bachelor’s Degree,85834,75.0
225511,3652,University of Houston,Public,Houston,Texas ,77204-2018,29.720393,-95.343537,Petroleum Engineering,3,Bachelor’s Degree,83990,157.0
225511,3652,University of Houston,Public,Houston,Texas ,77204-2018,29.720393,-95.343537,Industrial Engineering,3,Bachelor’s Degree,79151,41.0
225511,3652,University of Houston,Public,Houston,Texas ,77204-2018,29.720393,-95.343537,Mechanical Engineering,3,Bachelor’s Degree,78108,212.0
