UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
227757,3604,Rice University,"Private, nonprofit",Houston,Texas ,77005-1827,29.717897,-95.402035,"Computer and Information Sciences, General",3,Bachelor’s Degree,145256,120.0
227757,3604,Rice University,"Private, nonprofit",Houston,Texas ,77005-1827,29.717897,-95.402035,Chemical Engineering,3,Bachelor’s Degree,92763,53.0
227757,3604,Rice University,"Private, nonprofit",Houston,Texas ,77005-1827,29.717897,-95.402035,Economics,3,Bachelor’s Degree,81590,94.0
227757,3604,Rice University,"Private, nonprofit",Houston,Texas ,77005-1827,29.717897,-95.402035,Mechanical Engineering,3,Bachelor’s Degree,76594,67.0
227757,3604,Rice University,"Private, nonprofit",Houston,Texas ,77005-1827,29.717897,-95.402035,History,3,Bachelor’s Degree,61295,25.0
