UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
227331,3598,Our Lady of the Lake University,"Private, nonprofit",San Antonio,Texas ,78207-4689,29.426194,-98.54365,Communication Disorders Sciences and Services,3,Bachelor’s Degree,43192,22.0
227331,3598,Our Lady of the Lake University,"Private, nonprofit",San Antonio,Texas ,78207-4689,29.426194,-98.54365,"Psychology, General",3,Bachelor’s Degree,40576,32.0
227331,3598,Our Lady of the Lake University,"Private, nonprofit",San Antonio,Texas ,78207-4689,29.426194,-98.54365,Social Work,3,Bachelor’s Degree,37140,69.0
227331,3598,Our Lady of the Lake University,"Private, nonprofit",San Antonio,Texas ,78207-4689,29.426194,-98.54365,Criminal Justice and Corrections,3,Bachelor’s Degree,34596,22.0
227331,3598,Our Lady of the Lake University,"Private, nonprofit",San Antonio,Texas ,78207-4689,29.426194,-98.54365,Health and Physical Education/Fitness,3,Bachelor’s Degree,32189,17.0
