UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
229267,3647,Trinity University,"Private, nonprofit",San Antonio,Texas ,78212-7200,29.462682,-98.48186,"Computer and Information Sciences, General",3,Bachelor’s Degree,98114,30.0
229267,3647,Trinity University,"Private, nonprofit",San Antonio,Texas ,78212-7200,29.462682,-98.48186,Finance and Financial Management Services,3,Bachelor’s Degree,74778,17.0
229267,3647,Trinity University,"Private, nonprofit",San Antonio,Texas ,78212-7200,29.462682,-98.48186,Marketing,3,Bachelor’s Degree,54622,30.0
229267,3647,Trinity University,"Private, nonprofit",San Antonio,Texas ,78212-7200,29.462682,-98.48186,Economics,3,Bachelor’s Degree,51821,26.0
