UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
229027,10115,The University of Texas at San Antonio,Public,San Antonio,Texas ,78249-1644,29.583709,-98.620657,"Building/Construction Finishing, Management, and Inspection",3,Bachelor’s Degree,78030,66.0
229027,10115,The University of Texas at San Antonio,Public,San Antonio,Texas ,78249-1644,29.583709,-98.620657,"Computer and Information Sciences, General",3,Bachelor’s Degree,73023,186.0
229027,10115,The University of Texas at San Antonio,Public,San Antonio,Texas ,78249-1644,29.583709,-98.620657,Computer/Information Technology Administration and Management,3,Bachelor’s Degree,69865,199.0
229027,10115,The University of Texas at San Antonio,Public,San Antonio,Texas ,78249-1644,29.583709,-98.620657,"Electrical, Electronics and Communications Engineering",3,Bachelor’s Degree,69012,99.0
229027,10115,The University of Texas at San Antonio,Public,San Antonio,Texas ,78249-1644,29.583709,-98.620657,Civil Engineering,3,Bachelor’s Degree,66662,87.0
