UNITID,OPEID6,INSTNM,CONTROL,CITY,STATE,ZIP,LATITUDE,LONGITUDE,CIPDESC,CREDLEV,CREDDESC,EARN_NE_MDN_3YR,IPEDSCOUNT2
228149,3623,St. Mary's University,"Private, nonprofit",San Antonio,Texas ,78228,29.453244,-98.562778,Accounting and Related Services,3,Bachelor’s Degree,62421,12.0
228149,3623,St. Mary's University,"Private, nonprofit",San Antonio,Texas ,78228,29.453244,-98.562778,Finance and Financial Management Services,3,Bachelor’s Degree,62293,42.0
228149,3623,St. Mary's University,"Private, nonprofit",San Antonio,Texas ,78228,29.453244,-98.562778,Health and Physical Education/Fitness,3,Bachelor’s Degree,39095,36.0
228149,3623,St. Mary's University,"Private, nonprofit",San Antonio,Texas ,78228,29.453244,-98.562778,"Psychology, General",3,Bachelor’s Degree,36564,33.0
228149,3623,St. Mary's University,"Private, nonprofit",San Antonio,Texas ,78228,29.453244,-98.562778,Communication and Media Studies,3,Bachelor’s Degree,35547,8.0
